video_name,video_path,frame,second,nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c,final_class,seq_id
01.mp4,S1/ADL/01.mp4,0,0.0,577.0509,107.2834,0.9923,595.1995,86.6932,0.9884,568.3336,92.4579,0.9374,630.6618,96.5013,0.9571,566.8494,105.273,0.4892,693.6968,186.6081,0.9993,546.4756,197.5854,0.9976,716.9105,289.7801,0.9947,537.7772,298.8152,0.9691,705.8284,345.699,0.9867,518.1852,350.0206,0.9474,674.4578,366.567,0.9997,574.6339,365.7765,0.9993,666.8416,431.0327,0.9995,520.674,427.4558,0.9989,632.5435,620.83,0.9957,560.5482,610.5908,0.9935,Non-Falling,0
01.mp4,S1/ADL/01.mp4,1,0.1,572.114,107.6669,0.9906,589.4086,86.9987,0.9855,563.4572,93.151,0.9232,624.6663,95.9395,0.9513,562.8979,105.804,0.4579,689.6515,185.7273,0.9992,544.5333,197.4811,0.9975,714.9146,287.5807,0.9949,538.9855,296.8975,0.97,705.3694,345.5599,0.9872,516.5291,350.8828,0.9494,673.9232,363.2528,0.9997,575.2842,363.0584,0.9994,669.5991,437.021,0.9995,523.1608,434.486,0.999,636.5576,624.0513,0.9958,562.8814,615.4945,0.9937,Non-Falling,0
01.mp4,S1/ADL/01.mp4,2,0.2,565.9373,110.4327,0.9885,583.0239,89.4394,0.9836,557.9813,95.6005,0.9012,619.0754,97.5035,0.9527,559.4758,107.4272,0.3965,685.126,186.2309,0.9992,540.1172,200.2082,0.9969,713.7017,284.3702,0.9949,536.8578,297.821,0.9641,704.5972,344.2271,0.9871,516.756,349.8444,0.9421,671.9085,361.0667,0.9997,573.9948,362.5181,0.9993,669.2614,430.3752,0.9995,524.5917,431.6508,0.9989,634.2052,616.3636,0.9961,567.9897,612.802,0.9939,Non-Falling,0
01.mp4,S1/ADL/01.mp4,3,0.3,560.9565,112.7002,0.9905,577.3526,91.0987,0.9867,551.7955,97.9674,0.9169,612.4595,97.5557,0.9559,552.0341,109.6934,0.4192,680.3832,184.9301,0.9992,537.0898,202.0427,0.9969,711.2961,283.5974,0.995,538.3561,302.3742,0.96,705.5834,343.4308,0.9871,515.0974,351.7102,0.936,672.3242,361.6845,0.9997,575.0034,364.2917,0.9993,668.8484,428.3765,0.9996,522.7281,430.3332,0.999,636.4691,617.2119,0.9966,567.2338,611.6219,0.9946,Non-Falling,0
01.mp4,S1/ADL/01.mp4,4,0.4,543.6742,117.4227,0.9897,557.4637,96.3694,0.987,534.5322,104.5966,0.9057,592.6521,100.5262,0.9575,538.1079,116.7068,0.3633,670.5569,183.8328,0.9986,530.0093,203.8367,0.996,712.4996,281.3256,0.992,533.952,308.5214,0.9559,694.1631,344.845,0.9823,510.4592,358.4153,0.9334,669.0463,356.4052,0.9993,573.0522,358.6835,0.9987,664.3293,430.3076,0.9991,523.9887,429.7892,0.9983,638.7686,620.5057,0.9936,567.5211,609.647,0.9913,Non-Falling,0
01.mp4,S1/ADL/01.mp4,5,0.5,536.0488,121.1526,0.9898,549.2379,100.3303,0.9882,526.8741,109.2431,0.9008,585.3004,102.4027,0.9619,531.771,120.3487,0.3311,665.3354,181.6706,0.9987,527.1055,203.26,0.9955,709.667,276.9812,0.9926,532.2454,306.2616,0.9497,693.0779,345.1436,0.9831,509.2881,358.432,0.9262,664.708,357.9203,0.9994,569.7216,360.8528,0.9987,665.4834,431.3354,0.9992,524.6412,430.8849,0.9984,642.4029,625.1061,0.9945,565.4952,612.1693,0.9922,Non-Falling,0
01.mp4,S1/ADL/01.mp4,6,0.6,529.314,124.546,0.9823,541.9473,104.2018,0.9827,521.2253,111.1641,0.8397,577.2518,107.6786,0.9549,529.132,121.9824,0.2453,658.9741,181.845,0.9987,518.1049,202.6083,0.9895,707.1378,276.4556,0.9945,528.4518,305.3752,0.895,691.6245,340.7029,0.9859,506.4037,357.4579,0.8742,660.8887,352.8329,0.9995,565.1607,357.1904,0.9983,668.3343,424.7082,0.9996,525.5072,429.2869,0.9988,635.0262,626.6763,0.998,566.1819,621.5494,0.9962,Non-Falling,0
01.mp4,S1/ADL/01.mp4,7,0.7,523.4147,132.2087,0.9822,535.2138,110.1748,0.9824,514.7984,118.3077,0.8337,571.822,107.7578,0.955,524.1904,125.5575,0.2305,656.675,181.0945,0.9987,516.7888,207.4367,0.9903,704.778,275.6934,0.9946,525.5532,316.7838,0.9061,689.5988,339.11,0.9867,501.9889,366.3575,0.8884,659.0197,355.449,0.9995,564.2199,361.7505,0.9984,671.3307,423.8247,0.9996,525.2791,429.7766,0.9989,636.1962,626.5277,0.998,567.1667,619.911,0.9963,Non-Falling,0
01.mp4,S1/ADL/01.mp4,8,0.8,515.3525,133.176,0.9829,528.0322,112.8719,0.9823,508.5097,121.2531,0.8201,566.3253,113.4436,0.9588,519.3807,130.5018,0.2162,651.8593,184.6514,0.9984,515.5425,210.2483,0.9933,699.6718,273.0979,0.993,524.8853,315.4058,0.936,686.3881,339.7358,0.9838,504.0931,365.4265,0.9133,660.6613,358.7939,0.9994,566.7584,363.747,0.9986,667.3182,427.9326,0.9994,525.7744,428.8707,0.9986,645.7738,629.6682,0.9956,571.3632,615.8076,0.9934,Non-Falling,0
01.mp4,S1/ADL/01.mp4,9,0.9,511.1245,135.091,0.9791,523.7457,114.5247,0.9806,504.1315,121.5691,0.8048,561.0544,115.458,0.955,515.0977,130.1772,0.2013,646.5623,186.3548,0.9986,506.4741,211.6129,0.9875,695.0872,275.435,0.9941,520.5628,317.7203,0.8824,683.3324,338.9489,0.985,500.5896,365.4455,0.8638,653.6559,356.5181,0.9994,558.187,362.7187,0.998,671.4131,423.1978,0.9996,524.0545,427.5002,0.9987,640.7767,627.7556,0.9978,573.1544,618.554,0.9957,Non-Falling,0
01.mp4,S1/ADL/01.mp4,10,1.0,506.9622,139.6405,0.9815,518.3295,117.6412,0.9825,498.6702,126.2639,0.8225,554.9072,115.12,0.9547,510.0632,134.4622,0.2,641.8395,181.4842,0.9984,508.4021,213.2569,0.9878,693.0643,269.8649,0.9936,518.6085,322.6183,0.8918,681.8291,336.3383,0.9851,497.4935,368.844,0.8789,655.0126,354.2652,0.9993,563.4554,362.8341,0.9978,668.0872,418.0525,0.9995,524.6827,424.8647,0.9985,648.3505,630.7709,0.9974,570.606,619.8088,0.9952,Non-Falling,0
01.mp4,S1/ADL/01.mp4,20,2.0,473.0282,169.6336,0.954,481.0269,146.8338,0.9463,467.2121,157.8139,0.7065,515.6957,133.6549,0.8711,481.6378,156.1554,0.16,610.3668,181.8035,0.9954,493.3005,217.0604,0.9658,670.7265,258.2552,0.9869,514.3972,318.7324,0.8261,648.1051,327.0411,0.9729,490.9548,376.6209,0.8278,654.1146,347.7866,0.9977,571.0121,358.9912,0.9938,661.2976,413.2539,0.9986,524.0494,424.3049,0.996,657.8542,629.0914,0.9937,579.5306,624.5204,0.9884,Non-Falling,0
01.mp4,S1/ADL/01.mp4,21,2.1,469.0876,169.8595,0.9311,474.7776,148.2745,0.935,463.8304,157.6986,0.4185,510.4787,132.7487,0.9239,484.5781,157.038,0.0564,611.7517,180.6994,0.9969,500.0621,221.5571,0.9822,663.5837,252.5789,0.9943,515.7291,324.4945,0.9232,634.9283,330.5281,0.9894,488.9772,375.4372,0.9243,650.2979,346.8604,0.9995,570.9414,356.6362,0.9986,659.3738,423.3065,0.9994,521.0806,423.4026,0.9986,671.7394,638.1136,0.9956,581.8264,609.6372,0.993,Non-Falling,0
01.mp4,S1/ADL/01.mp4,22,2.2,466.8417,174.709,0.9592,474.0557,150.5179,0.9529,460.7448,162.8271,0.7288,507.9149,136.8297,0.8813,475.1142,161.7081,0.164,604.5983,183.5633,0.9953,490.629,220.2695,0.9664,663.5159,265.7791,0.986,512.7113,323.4924,0.8224,611.9004,341.2543,0.972,488.5697,382.7126,0.8291,650.7648,344.4852,0.9973,569.1044,356.1031,0.993,662.1609,413.6264,0.9983,531.723,425.3834,0.9955,659.6047,635.3826,0.9923,581.1306,631.052,0.9864,Non-Falling,0
01.mp4,S1/ADL/01.mp4,23,2.3,463.4633,171.502,0.9567,469.5749,149.5409,0.9617,457.0398,160.2078,0.5643,506.6083,135.9029,0.9468,476.6555,162.8618,0.0741,607.8608,186.2332,0.9962,494.2428,229.4553,0.9868,657.4613,257.7548,0.9899,509.4076,326.929,0.9253,598.1569,332.7091,0.9827,485.9645,379.5017,0.9188,649.4529,348.3333,0.9992,569.3206,359.7327,0.9983,659.3994,422.3518,0.9992,525.9548,426.8329,0.9984,674.1818,629.7769,0.9945,588.6677,610.2401,0.9926,Non-Falling,0
01.mp4,S1/ADL/01.mp4,24,2.4,459.8116,172.3542,0.9427,466.8852,149.7859,0.9284,454.6614,162.2491,0.622,500.7994,138.1579,0.8617,469.0375,162.5976,0.1428,595.3242,185.5738,0.9966,481.8952,225.3614,0.9693,650.8835,257.3923,0.9921,507.142,325.1631,0.8467,591.9865,329.2658,0.982,484.0504,386.1658,0.8495,642.9904,349.9266,0.9986,560.6539,363.9849,0.9958,663.3142,410.5483,0.9988,529.1268,426.7151,0.9961,666.0978,622.8063,0.9927,588.319,624.8405,0.9856,Non-Falling,0
01.mp4,S1/ADL/01.mp4,25,2.5,456.1648,174.4677,0.946,461.3444,154.0623,0.9505,450.2696,164.6499,0.4714,497.6961,138.696,0.9432,469.8919,165.3861,0.0621,599.7383,187.2396,0.9976,484.8145,225.3873,0.9863,640.3727,270.3364,0.9953,502.5991,327.2834,0.932,556.8969,329.9995,0.9911,481.3197,379.064,0.9323,637.4707,354.722,0.9995,555.1263,365.2471,0.9987,667.877,422.2569,0.9994,528.8047,426.2659,0.9985,680.2186,628.1835,0.995,589.7705,613.816,0.9921,Non-Falling,0
01.mp4,S1/ADL/01.mp4,26,2.6,452.767,177.6802,0.9468,457.9413,157.4464,0.9515,446.3662,167.878,0.4838,493.446,142.2163,0.9424,464.5783,168.7165,0.0666,594.0023,189.6387,0.9973,481.0265,228.284,0.9851,622.6989,274.8942,0.9947,500.2001,331.1507,0.9255,518.5703,331.5561,0.9901,479.6505,380.7899,0.928,641.9167,353.6715,0.9993,560.2136,364.8639,0.9982,665.1867,421.8271,0.9991,530.0526,427.4156,0.9977,681.5157,625.5228,0.9923,595.6644,613.9792,0.988,Non-Falling,0
01.mp4,S1/ADL/01.mp4,27,2.7,449.0137,182.8814,0.9332,453.1994,162.727,0.9437,442.8853,172.4566,0.4197,486.3194,145.5718,0.937,460.4712,170.9948,0.0553,587.0446,189.5255,0.9968,475.717,227.5764,0.9765,612.0846,276.8546,0.9943,495.9196,334.2561,0.8861,504.2664,329.1028,0.9888,477.8138,381.7428,0.8971,640.3542,352.0938,0.9991,559.2938,363.4401,0.9973,664.0344,421.1147,0.9989,528.6207,426.0264,0.9969,681.8406,628.3264,0.9917,596.6304,615.7014,0.9856,Non-Falling,0
01.mp4,S1/ADL/01.mp4,28,2.8,444.0879,183.7782,0.9533,448.8387,162.3933,0.9607,436.7062,173.5862,0.5238,482.6138,146.3616,0.9478,453.1987,174.9671,0.071,581.0942,191.0889,0.997,470.3522,238.5949,0.9799,604.2993,268.4786,0.9939,491.783,344.4007,0.8892,499.2825,327.6293,0.9881,477.8947,385.5913,0.8981,639.329,349.4386,0.9989,558.1708,365.5302,0.9969,667.7783,422.0756,0.9986,530.2112,434.0403,0.996,687.419,627.4816,0.9884,597.8857,618.3976,0.9805,Non-Falling,0
01.mp4,S1/ADL/01.mp4,29,2.9,438.7852,185.5515,0.9639,443.9282,164.9064,0.9705,431.1324,176.4402,0.5868,477.6613,149.3299,0.9559,446.4412,178.5688,0.0809,574.1976,190.6809,0.9976,466.1264,243.8862,0.9815,595.0224,262.7568,0.9945,496.7871,353.0532,0.8795,489.9656,325.0707,0.9879,482.6942,387.5117,0.8856,635.3998,352.4585,0.9991,555.0103,370.9328,0.9971,666.1274,416.654,0.9989,529.1332,431.5482,0.9967,686.2667,622.354,0.9918,598.6314,612.5591,0.9855,Non-Falling,0
01.mp4,S1/ADL/01.mp4,30,3.0,432.3266,186.7637,0.9673,438.8459,167.0463,0.9696,425.681,177.6242,0.6288,473.1181,155.8689,0.9497,441.9126,181.6254,0.1061,563.9209,199.2142,0.9978,462.1924,247.4896,0.9856,564.9025,270.5945,0.9945,494.1121,352.1023,0.9053,464.1556,329.3067,0.9875,474.2973,381.3101,0.9051,633.5436,354.8276,0.9991,554.9279,371.9706,0.9975,665.9033,415.5471,0.9989,527.3461,428.608,0.997,686.4131,620.77,0.9919,596.3894,609.9255,0.9865,Non-Falling,0
01.mp4,S1/ADL/01.mp4,31,3.1,426.5958,192.8593,0.9642,431.9441,173.8531,0.9664,420.0232,184.8142,0.5892,464.9608,160.6586,0.9478,436.2175,187.8864,0.0934,556.918,198.8391,0.9979,459.5869,251.6638,0.9854,563.1279,265.2088,0.9953,493.2239,355.6788,0.9103,461.4269,328.3734,0.9891,466.3924,382.7032,0.9105,630.1026,354.1089,0.9993,553.9649,372.9827,0.9979,665.5211,418.0926,0.999,526.1819,433.0778,0.9972,695.4863,620.9032,0.9922,595.8749,609.6837,0.9868,Non-Falling,0
