video_name,video_path,frame,second,class,nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c
02.mp4,S1/ADL/02.mp4,15,1.5,Sleeping,775.7367,180.4272,0.9839,788.5747,166.6858,0.8145,770.2266,157.3671,0.9749,780.3523,168.0853,0.2621,734.8265,143.0926,0.9465,773.6832,233.8044,0.998,639.4037,191.2955,0.9996,752.9149,361.4116,0.9914,585.5875,284.4224,0.9987,689.951,364.1067,0.9913,678.2004,330.1183,0.9976,671.6909,389.6035,0.9994,579.1567,369.5463,0.9996,640.436,427.1501,0.9986,511.623,409.9996,0.999,580.6584,613.2321,0.9859,501.604,622.7592,0.9879
02.mp4,S1/ADL/02.mp4,16,1.6,Sleeping,785.352,182.7753,0.9844,797.3297,169.7207,0.7925,780.0801,161.1498,0.9788,786.8734,169.2854,0.2244,742.0856,145.3029,0.9594,780.2094,230.9885,0.998,645.0363,188.6275,0.9997,766.0113,363.0555,0.991,600.3172,281.186,0.9991,699.8125,376.692,0.9909,696.2166,334.7303,0.9981,673.1207,388.3814,0.9995,579.8512,368.718,0.9997,646.3244,423.4916,0.9986,516.5843,409.6282,0.9991,577.8147,609.3231,0.9856,498.7378,625.386,0.9886
02.mp4,S1/ADL/02.mp4,17,1.7,Sleeping,789.8874,193.8838,0.9634,801.9713,177.9339,0.5806,784.0483,169.6798,0.9749,792.4834,171.426,0.0986,748.7634,150.1694,0.9575,780.8927,234.8861,0.9759,660.8977,193.2014,0.9996,740.231,367.7294,0.827,624.0065,291.684,0.9992,738.0575,377.9193,0.8806,728.0687,350.1659,0.9973,672.0618,375.8276,0.9969,584.6777,354.7047,0.9995,650.5591,433.3718,0.9956,518.2875,407.4869,0.9992,580.959,617.7987,0.9802,501.218,612.9025,0.9932
02.mp4,S1/ADL/02.mp4,18,1.8,Sleeping,795.0609,198.7567,0.9572,807.0143,183.3855,0.5582,790.2352,174.5397,0.9646,796.9244,178.1226,0.1053,756.337,155.2083,0.945,784.6167,239.9577,0.9839,668.6591,196.0477,0.9994,749.4904,367.4116,0.9123,636.5894,286.7257,0.999,761.2797,382.3032,0.9356,741.9577,346.8836,0.9972,678.7197,376.6292,0.9974,593.673,354.9318,0.9993,648.0692,430.2167,0.9953,519.4508,405.3318,0.9987,578.6506,615.325,0.9738,500.8757,612.2753,0.9882
02.mp4,S1/ADL/02.mp4,19,1.9,Sleeping,804.2838,200.4617,0.9678,816.5888,185.0993,0.6917,799.2834,175.5765,0.9664,805.6168,181.9894,0.1743,764.0118,157.6721,0.9336,792.83,244.3964,0.9911,677.8413,197.7402,0.9991,755.8955,365.8158,0.9536,655.4277,282.9117,0.998,766.0643,386.2412,0.9584,761.1942,353.8341,0.995,682.0368,374.9452,0.998,595.934,350.9665,0.9992,651.2639,431.528,0.9966,518.8415,400.8931,0.9984,577.6257,618.2563,0.98,496.5702,607.3741,0.9873
02.mp4,S1/ADL/02.mp4,20,2.0,Sleeping,811.2452,204.4237,0.9527,821.6813,189.8973,0.6346,807.2039,181.1494,0.941,808.7908,187.0833,0.1652,774.2245,164.0021,0.8949,796.8716,245.8497,0.9915,690.9338,193.8488,0.9985,767.5546,366.7615,0.9684,660.709,267.2058,0.997,790.2852,389.1346,0.9687,741.0444,345.5205,0.9933,685.5146,371.4658,0.9983,605.2643,345.2064,0.9991,649.0529,432.9238,0.9971,523.4502,402.1435,0.9982,579.8239,616.2148,0.9819,491.1483,609.399,0.986
02.mp4,S1/ADL/02.mp4,21,2.1,Sleeping,821.7394,208.1797,0.9761,833.8561,194.1346,0.8204,816.3411,184.3268,0.9638,822.1497,191.3991,0.2989,779.3025,165.8571,0.8963,806.788,249.2223,0.9951,703.5861,190.2384,0.9987,767.4841,374.716,0.9808,671.4782,252.0675,0.9962,734.6337,394.8841,0.9802,728.0062,326.9633,0.9925,695.4698,368.8357,0.9988,616.2908,337.3947,0.9992,646.1655,435.6026,0.998,523.3599,397.5407,0.9984,579.6691,608.308,0.9868,482.5668,595.6447,0.988
02.mp4,S1/ADL/02.mp4,22,2.2,Sleeping,825.0102,219.6298,0.9722,836.7646,205.6711,0.7929,820.761,195.5293,0.9589,825.0891,200.4215,0.2786,784.95,173.8409,0.8899,810.9646,254.3079,0.9947,708.1271,192.9145,0.9986,772.4916,383.2722,0.98,671.1517,259.1351,0.9965,732.9326,397.0576,0.9795,724.5079,332.8376,0.993,692.4645,372.1101,0.9987,613.5093,338.6862,0.9992,651.626,437.3284,0.9979,527.2873,394.4257,0.9984,575.0214,611.5508,0.9859,474.6453,593.8625,0.9878
02.mp4,S1/ADL/02.mp4,23,2.3,Sleeping,833.3492,223.7931,0.9682,846.0037,209.6554,0.7556,830.287,197.5111,0.966,835.5031,203.3781,0.2088,796.4449,172.584,0.9059,813.9407,259.2001,0.9845,718.8295,192.2001,0.9983,769.012,385.6738,0.9137,682.4004,265.8538,0.9956,759.5003,394.8958,0.9233,750.349,360.8578,0.9893,688.057,378.1707,0.9962,612.7635,342.185,0.9985,656.5372,437.6559,0.9955,531.29,387.0591,0.9979,577.3082,614.225,0.981,471.4414,590.808,0.9883
02.mp4,S1/ADL/02.mp4,24,2.4,Sleeping,841.95,228.2434,0.9593,853.8414,216.3492,0.7308,840.601,202.6035,0.9433,842.8728,212.5146,0.2309,808.5771,178.4781,0.8633,824.6481,262.7236,0.9901,731.4243,193.0969,0.9982,773.0766,378.4103,0.9607,677.7431,255.9087,0.9958,742.8241,393.3531,0.9613,724.5703,344.913,0.9909,698.8524,373.8015,0.9983,624.8706,333.7563,0.9991,656.5138,443.2742,0.9977,531.8664,381.9578,0.9986,575.6648,614.8276,0.988,463.4526,572.2183,0.9911
