video_name,video_path,frame,second,class,nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c
01.mp4,S1/ADL/01.mp4,20,2,Sleeping,473.0282,169.6336,0.954,481.0269,146.8338,0.9463,467.2121,157.8139,0.7065,515.6957,133.6549,0.8711,481.6378,156.1554,0.16,610.3668,181.8035,0.9954,493.3005,217.0604,0.9658,670.7265,258.2552,0.9869,514.3972,318.7324,0.8261,648.1051,327.0411,0.9729,490.9548,376.6209,0.8278,654.1146,347.7866,0.9977,571.0121,358.9912,0.9938,661.2976,413.2539,0.9986,524.0494,424.3049,0.996,657.8542,629.0914,0.9937,579.5306,624.5204,0.9884
01.mp4,S1/ADL/01.mp4,21,2.1,Sleeping,469.0876,169.8595,0.9311,474.7776,148.2745,0.935,463.8304,157.6986,0.4185,510.4787,132.7487,0.9239,484.5781,157.038,0.0564,611.7517,180.6994,0.9969,500.0621,221.5571,0.9822,663.5837,252.5789,0.9943,515.7291,324.4945,0.9232,634.9283,330.5281,0.9894,488.9772,375.4372,0.9243,650.2979,346.8604,0.9995,570.9414,356.6362,0.9986,659.3738,423.3065,0.9994,521.0806,423.4026,0.9986,671.7394,638.1136,0.9956,581.8264,609.6372,0.993
01.mp4,S1/ADL/01.mp4,22,2.2,Sleeping,466.8417,174.709,0.9592,474.0557,150.5179,0.9529,460.7448,162.8271,0.7288,507.9149,136.8297,0.8813,475.1142,161.7081,0.164,604.5983,183.5633,0.9953,490.629,220.2695,0.9664,663.5159,265.7791,0.986,512.7113,323.4924,0.8224,611.9004,341.2543,0.972,488.5697,382.7126,0.8291,650.7648,344.4852,0.9973,569.1044,356.1031,0.993,662.1609,413.6264,0.9983,531.723,425.3834,0.9955,659.6047,635.3826,0.9923,581.1306,631.052,0.9864
01.mp4,S1/ADL/01.mp4,23,2.3,Sleeping,463.4633,171.502,0.9567,469.5749,149.5409,0.9617,457.0398,160.2078,0.5643,506.6083,135.9029,0.9468,476.6555,162.8618,0.0741,607.8608,186.2332,0.9962,494.2428,229.4553,0.9868,657.4613,257.7548,0.9899,509.4076,326.929,0.9253,598.1569,332.7091,0.9827,485.9645,379.5017,0.9188,649.4529,348.3333,0.9992,569.3206,359.7327,0.9983,659.3994,422.3518,0.9992,525.9548,426.8329,0.9984,674.1818,629.7769,0.9945,588.6677,610.2401,0.9926
01.mp4,S1/ADL/01.mp4,24,2.4,Sleeping,459.8116,172.3542,0.9427,466.8852,149.7859,0.9284,454.6614,162.2491,0.622,500.7994,138.1579,0.8617,469.0375,162.5976,0.1428,595.3242,185.5738,0.9966,481.8952,225.3614,0.9693,650.8835,257.3923,0.9921,507.142,325.1631,0.8467,591.9865,329.2658,0.982,484.0504,386.1658,0.8495,642.9904,349.9266,0.9986,560.6539,363.9849,0.9958,663.3142,410.5483,0.9988,529.1268,426.7151,0.9961,666.0978,622.8063,0.9927,588.319,624.8405,0.9856
01.mp4,S1/ADL/01.mp4,25,2.5,Sleeping,456.1648,174.4677,0.946,461.3444,154.0623,0.9505,450.2696,164.6499,0.4714,497.6961,138.696,0.9432,469.8919,165.3861,0.0621,599.7383,187.2396,0.9976,484.8145,225.3873,0.9863,640.3727,270.3364,0.9953,502.5991,327.2834,0.932,556.8969,329.9995,0.9911,481.3197,379.064,0.9323,637.4707,354.722,0.9995,555.1263,365.2471,0.9987,667.877,422.2569,0.9994,528.8047,426.2659,0.9985,680.2186,628.1835,0.995,589.7705,613.816,0.9921
01.mp4,S1/ADL/01.mp4,26,2.6,Sleeping,452.767,177.6802,0.9468,457.9413,157.4464,0.9515,446.3662,167.878,0.4838,493.446,142.2163,0.9424,464.5783,168.7165,0.0666,594.0023,189.6387,0.9973,481.0265,228.284,0.9851,622.6989,274.8942,0.9947,500.2001,331.1507,0.9255,518.5703,331.5561,0.9901,479.6505,380.7899,0.928,641.9167,353.6715,0.9993,560.2136,364.8639,0.9982,665.1867,421.8271,0.9991,530.0526,427.4156,0.9977,681.5157,625.5228,0.9923,595.6644,613.9792,0.988
01.mp4,S1/ADL/01.mp4,27,2.7,Sleeping,449.0137,182.8814,0.9332,453.1994,162.727,0.9437,442.8853,172.4566,0.4197,486.3194,145.5718,0.937,460.4712,170.9948,0.0553,587.0446,189.5255,0.9968,475.717,227.5764,0.9765,612.0846,276.8546,0.9943,495.9196,334.2561,0.8861,504.2664,329.1028,0.9888,477.8138,381.7428,0.8971,640.3542,352.0938,0.9991,559.2938,363.4401,0.9973,664.0344,421.1147,0.9989,528.6207,426.0264,0.9969,681.8406,628.3264,0.9917,596.6304,615.7014,0.9856
01.mp4,S1/ADL/01.mp4,28,2.8,Sleeping,444.0879,183.7782,0.9533,448.8387,162.3933,0.9607,436.7062,173.5862,0.5238,482.6138,146.3616,0.9478,453.1987,174.9671,0.071,581.0942,191.0889,0.997,470.3522,238.5949,0.9799,604.2993,268.4786,0.9939,491.783,344.4007,0.8892,499.2825,327.6293,0.9881,477.8947,385.5913,0.8981,639.329,349.4386,0.9989,558.1708,365.5302,0.9969,667.7783,422.0756,0.9986,530.2112,434.0403,0.996,687.419,627.4816,0.9884,597.8857,618.3976,0.9805
01.mp4,S1/ADL/01.mp4,29,2.9,Sleeping,438.7852,185.5515,0.9639,443.9282,164.9064,0.9705,431.1324,176.4402,0.5868,477.6613,149.3299,0.9559,446.4412,178.5688,0.0809,574.1976,190.6809,0.9976,466.1264,243.8862,0.9815,595.0224,262.7568,0.9945,496.7871,353.0532,0.8795,489.9656,325.0707,0.9879,482.6942,387.5117,0.8856,635.3998,352.4585,0.9991,555.0103,370.9328,0.9971,666.1274,416.654,0.9989,529.1332,431.5482,0.9967,686.2667,622.354,0.9918,598.6314,612.5591,0.9855
01.mp4,S1/ADL/01.mp4,30,3,Sleeping,432.3266,186.7637,0.9673,438.8459,167.0463,0.9696,425.681,177.6242,0.6288,473.1181,155.8689,0.9497,441.9126,181.6254,0.1061,563.9209,199.2142,0.9978,462.1924,247.4896,0.9856,564.9025,270.5945,0.9945,494.1121,352.1023,0.9053,464.1556,329.3067,0.9875,474.2973,381.3101,0.9051,633.5436,354.8276,0.9991,554.9279,371.9706,0.9975,665.9033,415.5471,0.9989,527.3461,428.608,0.997,686.4131,620.77,0.9919,596.3894,609.9255,0.9865
01.mp4,S1/ADL/01.mp4,31,3.1,Sleeping,426.5958,192.8593,0.9642,431.9441,173.8531,0.9664,420.0232,184.8142,0.5892,464.9608,160.6586,0.9478,436.2175,187.8864,0.0934,556.918,198.8391,0.9979,459.5869,251.6638,0.9854,563.1279,265.2088,0.9953,493.2239,355.6788,0.9103,461.4269,328.3734,0.9891,466.3924,382.7032,0.9105,630.1026,354.1089,0.9993,553.9649,372.9827,0.9979,665.5211,418.0926,0.999,526.1819,433.0778,0.9972,695.4863,620.9032,0.9922,595.8749,609.6837,0.9868
01.mp4,S1/ADL/01.mp4,32,3.2,Sleeping,419.5634,196.0023,0.9627,426.5406,176.8723,0.9594,413.4713,187.3454,0.6778,461.2554,163.2093,0.9224,430.0374,189.1142,0.1253,553.8102,202.2126,0.9929,456.1562,252.7187,0.988,553.2468,261.0494,0.9713,486.8081,349.6379,0.9237,479.729,309.0514,0.9475,447.2664,367.3474,0.8996,629.3483,356.5652,0.9982,552.8571,373.0731,0.9977,664.8555,421.0699,0.9985,516.6721,427.5448,0.998,700.552,623.489,0.9929,602.3502,601.1898,0.9928
01.mp4,S1/ADL/01.mp4,33,3.3,Sleeping,411.7021,196.7519,0.9774,418.4957,179.6549,0.9798,405.9647,189.0868,0.7161,453.3496,166.8682,0.9604,422.1669,189.4158,0.1348,541.1985,207.5793,0.998,449.2851,247.847,0.9876,527.8835,279.1417,0.9932,480.3224,342.0797,0.8962,455.3268,341.754,0.9816,442.4386,375.6198,0.8798,627.7179,352.8832,0.9992,553.6259,367.7205,0.9979,668.3005,430.0871,0.999,519.1003,436.7832,0.9974,704.225,620.5005,0.9931,596.8347,602.0306,0.989
01.mp4,S1/ADL/01.mp4,34,3.4,Sleeping,407.5391,206.9286,0.9548,412.5348,187.2842,0.9647,401.5873,198.3938,0.4978,445.167,169.5663,0.9493,417.8136,197.1537,0.0653,537.07,203.6004,0.9973,447.8722,259.6942,0.9704,537.9887,264.5246,0.9943,479.0374,357.9151,0.8069,453.403,334.1898,0.9855,436.4474,384.0861,0.8205,622.1526,353.8661,0.999,550.7266,374.1096,0.9962,659.7516,428.1732,0.9983,512.6362,439.5355,0.994,716.6215,627.3902,0.9867,605.9769,604.8192,0.9736
01.mp4,S1/ADL/01.mp4,35,3.5,Sleeping,399.3288,208.1602,0.9649,404.87,191.8805,0.9571,394.4254,201.6911,0.6469,437.619,176.4355,0.9285,412.6604,200.1589,0.1511,527.4362,207.6313,0.9975,442.5731,252.5467,0.9919,514.0065,279.0263,0.9929,474.2576,348.9799,0.9521,448.4552,346.5718,0.9825,423.9516,378.4671,0.9383,625.6042,348.9471,0.9993,555.2551,366.0348,0.9987,665.0983,420.6158,0.9991,515.0771,431.1183,0.9982,711.3131,615.2115,0.993,597.4869,599.1096,0.9909
01.mp4,S1/ADL/01.mp4,36,3.6,Sleeping,394.6368,215.6566,0.9747,399.8286,199.8805,0.9785,388.7696,209.2151,0.6861,431.764,182.8708,0.9617,405.288,204.9471,0.1618,514.2308,216.1761,0.9985,441.8209,251.8381,0.9832,480.4513,295.0393,0.995,495.9598,346.3734,0.8472,410.4667,359.9541,0.9823,453.424,387.8643,0.825,625.1818,347.8058,0.9992,559.7871,363.3711,0.9972,669.5596,427.3061,0.9989,517.6508,439.2144,0.9963,717.0508,608.9763,0.9924,603.1712,601.6027,0.9855
01.mp4,S1/ADL/01.mp4,37,3.7,Sleeping,391.7203,225.6454,0.9647,395.8449,205.1584,0.9715,383.4835,217.2577,0.524,425.4124,184.5905,0.9579,400.9902,214.9202,0.077,499.6251,214.8342,0.9974,445.1377,259.3114,0.9776,475.9239,298.937,0.9945,486.6356,345.4896,0.843,406.8752,366.2206,0.9867,435.9949,383.0169,0.8558,620.9231,345.299,0.999,568.3083,366.9928,0.9966,654.0346,404.8445,0.9987,516.6754,432.884,0.9958,732.5134,596.2378,0.9905,598.0515,610.4113,0.9821
